tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
36699,We Are from the Future 2,2010-02-18,8910819,0.6811,5.0,"[10752, 878, 28, 12]",0
46523,New Kids Turbo,2010-12-09,8786756,1.2605,6.3,"[28, 35]",0
73245,Bleach the Movie: Hell Verse,2010-12-04,8749681,2.2561,7.6,"[28, 16, 14, 12]",0
51273,Dark World,2010-10-07,8628997,0.6876,4.4,"[14, 9648, 53]",0
36696,Space Dogs,2010-03-18,8553835,0.78,5.2,"[10751, 16]",0
46829,Barney's Version,2010-10-26,8454301,1.2348,6.972,"[35, 18]",0
45284,Outrage,2010-06-12,8428636,1.8964,6.864,"[28, 80, 53, 18]",0
48838,London Boulevard,2010-11-10,8307227,1.8976,5.887,"[18, 80]",0
42966,Once Upon a Time in Mumbaai,2010-07-30,8300000,0.7673,6.672,"[18, 53, 80]",0
40794,Loose Cannons,2010-03-12,8220215,0.7276,7.3,"[35, 18, 10749]",1
58496,Senna,2010-10-07,8212430,3.5696,8.111,[99],0
49998,Otto's Eleven,2010-12-01,8184947,0.9968,5.6,[35],0
55758,Midnight FM,2010-10-14,8101240,1.0027,6.885,"[53, 80, 28]",0
44639,Inside Job,2010-10-08,7871522,2.0264,7.7,"[99, 80]",0
48303,Certified Copy,2010-05-19,7736632,1.4308,6.999,"[18, 10749]",0
36865,The Disappearance of Haruhi Suzumiya,2010-02-05,7701498,2.2438,7.832,"[16, 35, 878, 9648, 18]",0
23830,Last Night,2010-11-05,7644937,3.273,6.14,"[18, 10749]",0
52696,Band Baaja Baaraat,2010-12-10,7400000,0.7561,6.7,"[35, 18, 10749]",0
62267,Sakurada Gate Incident,2010-10-16,7394930,0.9515,7.367,"[36, 18, 28]",0
118301,"Inazuma Eleven the Movie: The Ultimate Force, Team Ogre, Attacks!",2010-12-23,7243674,0.8699,7.6,"[14, 16]",0
37832,Mammuth,2010-04-21,7100000,0.5405,5.758,[35],0
41479,The Joneses,2010-04-16,7022728,1.223,6.2,"[35, 18]",0
30675,Planet Hulk,2010-02-02,7000000,2.444,7.1,"[878, 16, 28]",0
39693,Echoes of the Rainbow,2010-03-11,6933474,0.7127,7.6,"[35, 18, 10749]",0
44549,Peepli Live,2010-08-13,6900000,3.8445,7.315,"[18, 35]",0
23759,Centurion,2010-02-15,6890432,6.778,6.2,"[12, 28, 18]",0
37034,True Legend,2010-02-09,6820000,2.7518,6.6,"[28, 14]",0
46738,Incendies,2010-09-17,6788659,13.9107,8.104,"[18, 10752, 9648]",0
57695,The Princess of Montpensier,2010-11-03,6775121,1.0988,6.3,"[28, 18, 36, 10749]",0
52629,El Infierno,2010-09-03,6703873,3.9217,7.882,"[28, 80, 37, 35, 18]",0
40662,Batman: Under the Red Hood,2010-07-27,6629178,3.8732,7.752,"[9648, 80, 16]",0
43923,It's Kind of a Funny Story,2010-10-08,6491240,2.5406,6.956,"[35, 18]",0
59490,Cave of Forgotten Dreams,2010-11-03,6467348,1.2974,7.085,[99],0
27583,Greenberg,2010-03-26,6344112,1.2756,5.87,"[35, 18, 10749]",0
46733,Çok Filim Hareketler Bunlar,2010-03-26,6220450,0.8754,4.774,[35],0
37495,Four Lions,2010-05-07,6200000,2.6341,6.951,"[35, 80, 18]",0
42882,Life Is a Wonderful Thing,2010-04-02,6161728,0.3938,5.525,[35],0
41201,The Illusionist,2010-06-16,6007194,1.8741,7.26,"[16, 18]",0
270650,Oy Vey! My Son Is Gay!,2010-06-18,6000007,0.7493,5.065,"[35, 10749]",0
44566,Anjaana Anjaani,2010-09-24,5900000,0.4634,6.0,"[35, 18, 10749]",0
43083,This Is Sodom,2010-08-05,5850000,0.2064,6.8,"[35, 36]",0
43933,Monsters,2010-06-18,5639730,2.5459,6.191,"[18, 53, 878]",0
53399,The Solitude of Prime Numbers,2010-09-10,5505962,0.7762,5.911,[18],0
34144,Atithi Tum Kab Jaoge?,2010-02-26,5400000,0.3963,6.304,[35],0
47557,The Edge,2010-09-23,5380142,0.6246,5.7,[18],0
45657,The Ward,2010-09-13,5343820,2.5128,5.765,"[27, 9648, 53]",0
46838,Tucker and Dale vs. Evil,2010-01-22,5224938,3.843,7.394,"[35, 27]",0
27585,Rabbit Hole,2010-12-16,5144717,1.4969,6.665,[18],0
37822,Badmaash Company,2010-05-07,5100000,0.813,5.851,[80],0
